refrigerant;sorbent;sorbent-subtype;type;d_lambda_12;d_lambda_21;v_1;v_2;validity-temperature-min;validity-temperature-max;comment;literature
-;-;-;-;in J/mol;in J/mol;in m³/mol;in m³/mol;in K;in K;-;-
R-12;naphthenic;;abs;1.0240000000E+03;8.0400000000E+02;1.0000000000E+00;1.0000000000E+00;228.15;394.15;See original literature: Use low-level interface to input molar volumes of both components, which are calculated by propper equations of state (i.e., v_POE =  1/((56.211-0.020808*((T-273.15)*1.8+32))*16.0185)*0.325 in m3/mol), for calculations.;Grebner, J. J. (1992): The Effects of Oil on the Thermodynamic Properties of Dichlorodifluoromethane (R-12) and Tetrafluoroethane (R-134a). Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-13. Online verfügbar unter http://hdl.handle.net/2142/9702.
R-12;paraffinic;;abs;1.3070000000E+03;1.6150000000E+03;1.0000000000E+00;1.0000000000E+00;255.15;394.15;See original literature: Use low-level interface to input molar volumes of both components, which are calculated by propper equations of state (i.e., v_POE =  1/((55.37-0.020428*((T-273.15)*1.8+32))*16.0185)*0.5 in m3/mol), for calculations.;Grebner, J. J. (1992): The Effects of Oil on the Thermodynamic Properties of Dichlorodifluoromethane (R-12) and Tetrafluoroethane (R-134a). Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-13. Online verfügbar unter http://hdl.handle.net/2142/9702.
R-22;lubricant;POE;abs;-2.2400000000E+02;6.3710000000E+03;1.0000000000E+00;1.0000000000E+00;253.15;333.15;See original literature: Use low-level interface to input molar volumes of both components, which are calculated by propper equations of state (i.e., v_POE =   1/((61.387-0.024138*((T-273.15)*1.8+32))*16.0185)*0.59 in m3/mol), for calculations.;"Martz, W. L.; Jacobi, A. M. (1994): Refrigerant-Oil Mixtures and Local Composition Modeling. Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-68. Online verfügbar unter http://hdl.handle.net/2142/10986."
R-134a;lubricant;PAG;abs;1.6670000000E+03;-4.6260000000E+03;1.0000000000E+00;1.0000000000E+00;263.15;343.15;See original literature: Use low-level interface to input molar volumes of both components, which are calculated by propper equations of state (i.e., v_POE =  1/((62.365-0.024864*((T-273.15)*1.8+32))*16.0185)*2 in m3/mol), for calculations.;"Martz, W. L.; Jacobi, A. M. (1994): Refrigerant-Oil Mixtures and Local Composition Modeling. Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-68. Online verfügbar unter http://hdl.handle.net/2142/10986."
R-134a;lubricant;POE;abs;9.4800000000E+02;3.9930000000E+03;1.0000000000E+00;1.0000000000E+00;255.15;394.15;See original literature: Use low-level interface to input molar volumes of both components, which are calculated by propper equations of state (i.e., v_POE =   1/((61.387-0.024138*((T-273.15)*1.8+32))*16.0185)*0.59 in m3/mol), for calculations.;Grebner, J. J. (1992): The Effects of Oil on the Thermodynamic Properties of Dichlorodifluoromethane (R-12) and Tetrafluoroethane (R-134a). Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-13. Online verfügbar unter http://hdl.handle.net/2142/9702.
R-134a;lubricant;POE;abs;1.1220000000E+03;4.4170000000E+03;1.0000000000E+00;1.0000000000E+00;263.15;343.15;See original literature: Use low-level interface to input molar volumes of both components, which are calculated by propper equations of state (i.e., v_POE =   1/((61.387-0.024138*((T-273.15)*1.8+32))*16.0185)*0.59 in m3/mol), for calculations.;"Martz, W. L.; Jacobi, A. M. (1994): Refrigerant-Oil Mixtures and Local Composition Modeling. Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-68. Online verfügbar unter http://hdl.handle.net/2142/10986."
R-125;lubricant;POE;abs;6.4200000000E+02;5.4930000000E+03;1.0000000000E+00;1.0000000000E+00;243.15;333.15;See original literature: Use low-level interface to input molar volumes of both components, which are calculated by propper equations of state (i.e., v_POE =  1/(993.89-0.75658*(T-273.15))*0.7 in m3/mol), for calculations.;"Burton, C.; Jacobi, A. M.; Mehendale, S. S. (1999): Vapor-liquid equilibrium for R-32 and R-410A mixed with a polyol ester. Non-ideality and local composition modeling. In: International Journal of Refrigeration 22 (6), S. 458–471. DOI: 10.1016/S0140-7007(99)00012-2."
R-32;lubricant;POE;abs;1.2045000000E+03;6.7066000000E+03;1.0000000000E+00;1.0000000000E+00;;;See original literature: Use low-level interface to input molar volumes of both components, which are calculated by propper equations of state (i.e., v_POE =  1/(993.89-0.75658*(T-273.15))*0.7 in m3/mol), for calculations.;"Burton, C.; Jacobi, A. M.; Mehendale, S. S. (1999): Vapor-liquid equilibrium for R-32 and R-410A mixed with a polyol ester. Non-ideality and local composition modeling. In: International Journal of Refrigeration 22 (6), S. 458–471. DOI: 10.1016/S0140-7007(99)00012-2."
R-32;R-125;;abs;8.7800000000E+01;1.1000000000E+01;1.0000000000E+00;1.0000000000E+00;;;See original literature: Use low-level interface to input molar volumes of both components, which are calculated by propper equations of state, for calculations.;"Burton, C.; Jacobi, A. M.; Mehendale, S. S. (1999): Vapor-liquid equilibrium for R-32 and R-410A mixed with a polyol ester. Non-ideality and local composition modeling. In: International Journal of Refrigeration 22 (6), S. 458–471. DOI: 10.1016/S0140-7007(99)00012-2."
